GH10,GH8,GH30,GH11,GH30_2,GH30_4,GH30_1,CBM32|GH30_3,CBM60|GH11
0.0157004737239372,0.00271328873817975,0.0126776693066579,0.000241043337788755,0,0,0.00198724198865592,0.00136218318785789,0
0.0138525471550506,0.00274191520801103,0.0100654471385226,0,0.000288347015877044,0,0.00144304557806853,0.00254607655717842,0
0.0179086810015256,0.00172880333141799,0.0112654184246583,0.000194498528286554,0.000619457442195241,0,0.00119522482705124,0.0024448052876134,0.000148356234789143
0.0185591857488736,0.00323613692420563,0.00948202691305129,0.00166347085059585,0.000708216868957903,0,0.000734145376904695,0.00119379221210315,0.000308064541423697
0.0177492608370271,0.00336524209712603,0.0100488066513158,0.00105317052216619,0.000766010092751275,0.000276145517602669,0.0010431787310118,0.00250233517153937,0.000305169821254601
0.0132571964216907,0.00389624415464453,0.00614696046783114,0.00105483391263807,0.00067561696502613,0.000446345875620835,0.000500845052116261,0.00288401063721377,0.000123314776447798
0.0162302520138193,0.00390928985711461,0.00839436424214714,0.00150713357526986,0.00109859073489523,0.000583195704861464,0.00131953664280438,0.00238747485683956,0.000161123137679444
0.0118597755302733,0.0031254728717948,0.00677770724235878,0.00158626992825626,0.000346296983205468,0,0.000550144833791372,0.000399152838536829,0
0.0165892681105835,0.00372593924826458,0.00744780611370543,0.0014896525962028,0.000531783852865797,0,0.000417691246969649,0.000984436232888885,0.000408020343565199
0.0196586084300423,0.00503701913881776,0.00928496307837282,0.00288188451227929,0.00049536557669582,0,0.0011735858112283,0.00194433951565889,0.000190038896164838
0.0198186804225603,0.00347122721246277,0.00833081477435089,0.0028930498311561,0.000838273474708398,0,0.0016106980224182,0.00209241866150964,0.000295589013623456
0.0183902614226754,0.00396628812428159,0.00770701280852358,0.00242615414485414,0.000683996710403489,0,0.000683764398600524,0.00112924622921031,0.000285538009952631
0.0157157695989962,0.00409703125928672,0.00604886635302176,0.00116543123827435,0.000107648443143932,0,0.000332711821249291,0.00101895174675427,0.000660761014372967
0.0180719673014077,0.00361546801025728,0.00817084249367703,0.00195969306620035,0.000608725830880969,0,0.00053331154995331,0.00198437098655218,0.000397180974139402
